ID,Age,Salaire_Annuel (€),Niveau_Etude,Ville,Score_Credit_Externe,Epargne_Totale (€),Montant_Pret_Accorde,Defaut_Paiement
1,56.0,91820.0,Master,Lyon,65.0,21580.0,34962.0,Non
2,53.0,56090.0,Licence,Paris,21.0,26356.0,22234.0,Non
3,19.0,98104.0,Doctorat,Lyon,98.0,2089.0,30607.0,Non
4,44.0,33431.0,Doctorat,Marseille,98.0,8758.0,13905.0,Non
5,20.0,56606.0,Bac,Paris,,26699.0,23863.0,Non
6,31.0,91552.0,Licence,,82.0,20660.0,31603.0,Non
7,24.0,32159.0,Master,Marseille,13.0,3193.0,11530.0,Non
8,21.0,92189.0,Licence,Lyon,83.0,44720.0,33613.0,Oui
9,43.0,52065.0,Licence,Lyon,69.0,2778.0,17829.0,Non
10,40.0,70591.0,Bac,Paris,78.0,13045.0,25296.0,
11,62.0,66214.0,Bac,-,63.0,25717.0,25518.0,Non
12,61.0,63190.0,Master,Marseille,89.0,25098.0,29559.0,Non
13,22.0,79505.0,Bac,Marseille,21.0,13685.0,28219.0,Oui
14,65.0,92373.0,Doctorat,Paris,94.0,13358.0,33179.0,Non
15,52.0,23110.0,Licence,Marseille,80.0,2903.0,7255.0,Non
16,31.0,15206.0,Master,,67.0,1655.0,5772.0,Non
17,49.0,69268.0,Doctorat,Lyon,93.0,14621.0,27393.0,Non
18,60.0,70820.0,Doctorat,Marseille,76.0,31262.0,32567.0,Non
19,59.0,64080.0,Bac,Lyon,98.0,6498.0,23017.0,Non
20,47.0,33047.0,Licence,Marseille,16.0,15014.0,11886.0,Non
21,18.0,76373.0,Bac,Paris,16.0,6925.0,27543.0,Oui
22,44.0,18748.0,Bac,Marseille,78.0,8849.0,7334.0,Non
23,49.0,83840.0,Doctorat,Paris,66.0,11182.0,26713.0,Non
24,19.0,82172.0,Bac,Paris,56.0,21061.0,34605.0,Non
25,40.0,22392.0,Bac,Marseille,98.0,5137.0,7607.0,Non
26,23.0,85467.0,Master,,71.0,31351.0,34672.0,Non
27,41.0,80733.0,Licence,Marseille,70.0,33851.0,-,Non
28,23.0,64811.0,Doctorat,Marseille,80.0,16910.0,24343.0,Non
29,36.0,82270.0,Doctorat,Paris,93.0,38584.0,32454.0,Non
30,18.0,88656.0,Bac,Lyon,39.0,31112.0,36638.0,Non
31,24.0,31371.0,Doctorat,Paris,66.0,8895.0,11280.0,Non
32,49.0,58016.0,Bac,Marseille,70.0,26083.0,24260.0,Non
33,41.0,74040.0,,,13.0,33339.0,28699.0,Non
34,37.0,17557.0,Bac,Marseille,27.0,1558.0,5691.0,Oui
